,max_lon,min_lon,max_lat,min_lat,area
0,350.0,302.0,84.0,52.0,1.0
1,164.0,150.0,-4.0,-16.0,2.0
2,38.0,28.0,2.0,-6.0,3.0
3,312.0,280.0,40.0,26.0,4.0
4,154.0,134.0,34.0,26.0,5.0
5,6.0,0.0,36.0,26.0,6.0
6,358.0,352.0,36.0,26.0,7.0
