,max_lon,min_lon,max_lat,min_lat,area
0,258.0,150.0,-28.0,-48.0,1.0
1,260.0,150.0,22.0,-24.0,2.0
2,244.0,168.0,-52.0,-76.0,3.0
3,306.0,260.0,12.0,-12.0,4.0
4,150.0,142.0,22.0,10.0,5.0
5,228.0,200.0,40.0,28.0,6.0
