,max_lon,min_lon,max_lat,min_lat,area
0,304.0,148.0,22.0,-24.0,1.0
1,102.0,0.0,14.0,-14.0,2.0
2,358.0,304.0,14.0,-14.0,3.0
3,234.0,178.0,-28.0,-44.0,3.0
