,max_lon,min_lon,max_lat,min_lat,area
0,20.0,0.0,38.0,26.0,1.0
1,358.0,306.0,38.0,26.0,2.0
2,340.0,268.0,54.0,40.0,2.0
3,306.0,254.0,34.0,22.0,3.0
4,186.0,166.0,-26.0,-36.0,4.0
5,268.0,254.0,58.0,46.0,5.0
6,328.0,306.0,16.0,8.0,6.0
