,max_lon,min_lon,max_lat,min_lat,area
0,250.0,148.0,36.0,-44.0,1.0
1,292.0,250.0,14.0,-44.0,2.0
2,148.0,36.0,4.0,-18.0,3.0
3,134.0,34.0,20.0,4.0,4.0
4,94.0,34.0,34.0,20.0,5.0
5,132.0,72.0,-18.0,-34.0,6.0
